dataset_scope,group,alpha,endpoint_alpha,n,median_delta_base_pair_f1,q1_delta_base_pair_f1,q3_delta_base_pair_f1,fraction_higher_base_pair_f1,fraction_equal_base_pair_f1,median_delta_nmsmd,q1_delta_nmsmd,q3_delta_nmsmd,fraction_lower_nmsmd,fraction_equal_nmsmd,median_delta_normalized_mountain_objective,q1_delta_normalized_mountain_objective,q3_delta_normalized_mountain_objective,median_delta_normalized_centroid_gain,q1_delta_normalized_centroid_gain,q3_delta_normalized_centroid_gain,median_delta_fraction_selected_pair_bpp_below_0.01,q1_delta_fraction_selected_pair_bpp_below_0.01,q3_delta_fraction_selected_pair_bpp_below_0.01,fraction_identical_to_endpoint
all,16S_rRNA,0.9090909090909091,1.0,182,0.0,0.0,0.0,0.08241758241758242,0.8626373626373627,0.0,0.0,0.0,0.02197802197802198,0.8626373626373627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8626373626373627
all,16S_rRNA,1.0,0.0,182,0.16707279898420177,0.07505331088664424,0.2752179327521794,0.9835164835164835,0.005494505494505495,-0.0004051996640973297,-0.0014678673594090298,0.0004999101784818113,0.5879120879120879,0.0,0.0017411121720127087,0.0004759653817993296,0.002456267647673376,0.23235558997457423,0.1547772551275253,0.2926540687201206,-0.23705004389815626,-0.391304347826087,-0.1160655737704918,0.0
all,16S_rRNA,1.0,1.0,182,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,5S_rRNA,0.0,0.0,11302,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
all,5S_rRNA,0.0,1.0,11302,-0.042788129744651404,-0.14011379800853485,0.0,0.20306140506105114,0.05229162980003539,-0.0009514936467976292,-0.005123497132144941,0.0,0.7468589630153956,0.007520792780038931,-0.0009534343107311725,-0.004932840664971212,-0.00021861152060221537,-0.163732783733246,-0.2764517097818878,-0.06764427716799282,0.14285714285714285,0.027777777777777776,0.34615384615384615,0.005839674393912582
all,5S_rRNA,9.999000099990002e-05,0.0,11302,0.0,0.0,0.03030303030303033,0.4125818439214298,0.5292868518846222,0.0,-1.4605043121389272e-05,3.843374790536008e-05,0.30649442576535124,0.3038400283135728,7.216506630790346e-07,0.0,2.1099792260585426e-06,0.02641901469825758,0.0,0.054500979345645906,-0.02631578947368421,-0.05555555555555555,0.0,0.2841974871704123
all,5S_rRNA,9.999000099990002e-05,1.0,11302,-0.029735355337496272,-0.1033426046474928,0.0,0.2267740222969386,0.06981065298177314,-0.0009454701984718745,-0.005072752960108967,0.0,0.7443815253937356,0.011325429127588037,-0.0009516582193063,-0.004929218962780025,-0.0002180506996012367,-0.11632367321924057,-0.23400315908108496,-0.0321778066705523,0.1,0.0,0.30303030303030304,0.009113431251105999
all,5S_rRNA,0.0002999100269919024,0.0,11302,0.00886841608262251,0.0,0.05633802816901401,0.5614050610511414,0.3594938948858609,0.0,-3.869419973945884e-05,9.224099497286576e-05,0.3662183684303663,0.15032737568571936,4.7581659061011715e-06,1.0695271294940457e-06,1.034787699602544e-05,0.05393802009749209,0.021867053041263365,0.09810804793869636,-0.05263157894736842,-0.10344827586206898,0.0,0.1303309148823217
all,5S_rRNA,0.0002999100269919024,1.0,11302,-0.021212121212121182,-0.07723699733710859,0.003042022300847741,0.25721111307733147,0.08414439922137674,-0.0009174311926605505,-0.005027438903881068,0.0,0.739161210405238,0.015041585560077862,-0.0009426562435790741,-0.004917913273983025,-0.00021267282032524693,-0.07062670198022414,-0.18507616901043852,-0.024278037769537353,0.05714285714285714,0.0,0.24,0.013625906919129358
all,5S_rRNA,0.0009990009990009992,0.0,11302,0.02857142857142858,0.0,0.08374384236453197,0.6654574411608565,0.22296938594938948,2.643037907771196e-05,-7.302521560695243e-05,0.000225215348740199,0.37267740222969387,0.07255353034861087,1.9172869202412898e-05,6.468011726383492e-06,3.891330766803895e-05,0.08696115212812405,0.03867044849918122,0.14654548493714845,-0.08823529411764706,-0.17619047619047618,-0.02631578947368421,0.059458502919837196
all,5S_rRNA,0.0009990009990009992,1.0,11302,-0.013080481504511299,-0.049603374957333066,0.008891358710752972,0.3083525039815962,0.0949389488586091,-0.000867935009026524,-0.004912864413924934,5.804129960918858e-05,0.7046540435321182,0.02459741638648027,-0.0009252927448359778,-0.00489161245708707,-0.00020111539486165208,-0.03628085757385305,-0.12113636721402224,-0.013665234497941936,0.0,0.0,0.13793103448275862,0.023181737745531766
all,5S_rRNA,0.0029910269192422734,0.0,11302,0.033333333333333326,0.0,0.1095890410958904,0.7018226862502212,0.1520084940718457,5.946835292485169e-05,-0.00011047108024934906,0.0003994570279136846,0.37506635993629445,0.04512475668023359,4.825666106570965e-05,1.4023511900200533e-05,0.0001113013906804444,0.11325890635536007,0.053185227864040674,0.1907304317963745,-0.12001589825119238,-0.25,-0.027777777777777776,0.036542204919483276
all,5S_rRNA,0.0029910269192422734,1.0,11302,-0.006338912619250764,-0.02921728056426333,0.01025290498974707,0.3476375862679172,0.11582020881259954,-0.0008127428378084981,-0.004798777552492622,5.804129960918858e-05,0.6921783755087595,0.03893116262608388,-0.0008613953924158462,-0.004730971830595798,-0.00018854859834030655,-0.01936780096537094,-0.06650147281840671,-0.007972452598217827,0.0,0.0,0.038461538461538464,0.03698460449477969
all,5S_rRNA,0.009900990099009901,0.0,11302,0.04088416828685493,0.0,0.1298904538341158,0.7108476375862679,0.10033622367722526,0.00013215189538855958,-0.00014581308151645793,0.0008127341566396416,0.34923022473898424,0.01902318173774553,0.00010921518069435076,4.3111466906345036e-05,0.00027318474222136655,0.13769636250020023,0.060475021668420045,0.22704050383594487,-0.1388888888888889,-0.311483245272525,-0.027777777777777776,0.015041585560077862
all,5S_rRNA,0.009900990099009901,1.0,11302,0.0,-0.01857763248561764,0.011298915746120575,0.3636524508936471,0.19235533533887808,-0.0006700687917197781,-0.004410962122453675,0.0,0.6434259423110954,0.1274995576004247,-0.0007766633648717861,-0.004482498870817579,-0.00015746409927739225,-0.009344620076803034,-0.03239839020807932,-0.002420206179939044,0.0,0.0,0.0,0.12334100159263847
all,5S_rRNA,0.029126213592233007,0.0,11302,0.04131192190893679,0.0,0.13401823196136603,0.7156255529994692,0.08184392142983543,0.0002597726492881224,-0.00013875949015798757,0.0012470528367468127,0.3136612988851531,0.010529109892054503,0.0001949257061711421,6.78825070255759e-05,0.0005432263310643407,0.15087828830190103,0.06456812392059386,0.24712032687887675,-0.1388888888888889,-0.34375,-0.027777777777777776,0.008228632100513184
